,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,Blockchain_4,Blockchain_5,Blockchain_6,TxID_1,TxID_2,TxID_3,TxID_4,TxID_5
0,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,Avalanche,Fantom,BNB CHAIN,Fantom,Avalanche,Fantom,62113bdd9e1cf703a57a4bc9,62116a189e1cf703a57a5287,6211d7959e1cf703a57a5f56,6211d7d39e1cf703a57a5f5b,6211ea4a9e1cf703a57a624a
1,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,Fantom,BNB CHAIN,Fantom,Avalanche,Fantom,BNB CHAIN,62116a189e1cf703a57a5287,6211d7959e1cf703a57a5f56,6211d7d39e1cf703a57a5f5b,6211ea4a9e1cf703a57a624a,6211eb039e1cf703a57a625d
2,0x34327028c727613872cd80122b9a489a4b9c0bfa,DERC,BNB CHAIN,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620bac6a854f936fad89745e,620c335e854f936fad89a20a,620d01393c8253c5fb8b88c3,620d65b73c8253c5fb8bb40d,620d67883c8253c5fb8bb468
3,0x1c94f4d7cf577ae410d8a80300af0377fbe6b222,BNB,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620cdc36d3ea681f35ec1abc,620cf2ead3ea681f35ec1dc9,620d07c6d3ea681f35ec2150,620d087cd3ea681f35ec2167,620d1435d3ea681f35ec23b9
4,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,FABRIC,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,6212eb229e1cf703a57a8a5d,6212eb9c9e1cf703a57a8a73,62134ec39e1cf703a57a9587,62134eff9e1cf703a57a9598,62134f789e1cf703a57a95bc
5,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,DERC,Ethereum,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,6209926d2219a24b7e94c895,620a078a854f936fad88be25,620a08cd854f936fad88be8a,620a102d854f936fad88bfc3,620a1160854f936fad88bff7
6,0x8039f3aa709fec29fdc5f075449b23ab609a6998,USDT,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620a8b72d3ea681f35ebbf50,620aad39d3ea681f35ebc494,620afe4ed3ea681f35ebd043,620b3297d3ea681f35ebd76f,620b4c61d3ea681f35ebdaf9
7,0xac569e0f62c7cbbb987518692aae056a0ae1dd18,DAI,Polygon,Fantom,Polygon,Fantom,Polygon,Fantom,620adf18d3ea681f35ebcc07,620af5a9d3ea681f35ebcf1a,620b0c5cd3ea681f35ebd232,620b307cd3ea681f35ebd730,620bce6fd3ea681f35ebf0f8
8,0xac569e0f62c7cbbb987518692aae056a0ae1dd18,DAI,Fantom,Polygon,Fantom,Polygon,Fantom,Polygon,620af5a9d3ea681f35ebcf1a,620b0c5cd3ea681f35ebd232,620b307cd3ea681f35ebd730,620bce6fd3ea681f35ebf0f8,620c9745d3ea681f35ec1195
9,0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,ALPACA,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620e84a762d48eee70ee318c,620e899962d48eee70ee340b,620e8a2762d48eee70ee3443,620e8b0362d48eee70ee34b2,620e8ef362d48eee70ee36cf
10,0x280bd4eb784f3d9947efb0c7d4c4928c5037e4a8,USDC,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,Avalanche,620fac6a11d45e0a496701ab,620ffa1f11d45e0a496732d2,6210b02d11d45e0a4967703d,6211880e11d45e0a49681f19,6211f00511d45e0a496862c1
11,0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,MCRT,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620bd619854f936fad898cd9,620be706d3ea681f35ebf5eb,620c38b6854f936fad89a4b6,620c45b3d3ea681f35ec05dd,620d63a73c8253c5fb8bb3b2
12,0x876cf8dcb8262398885bb2e1fb025fb2c1756164,USDC,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,Fantom,620f681711d45e0a4966ee8e,620f8f5811d45e0a4966fb60,620ff54311d45e0a49673089,6210182c11d45e0a4967389d,6210b1ee11d45e0a49677072
13,0x7c17751ae1d8a65cc51752894b54bd2b7f073651,USDC,Ethereum,Fantom,Ethereum,Fantom,Ethereum,Fantom,620cb1c2d3ea681f35ec14f8,620cd349d3ea681f35ec1999,620d9a47d3ea681f35ec3aad,620dca52d3ea681f35ec4128,620dee31dcf15fd1a427f9d7
14,0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,FABRIC,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,62095e7d2219a24b7e94c02e,620a10aa854f936fad88bfe2,620a10fd854f936fad88bfea,620a1172854f936fad88bffb,620b31d4d3ea681f35ebd74a
15,0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,FABRIC,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,620a10aa854f936fad88bfe2,620a10fd854f936fad88bfea,620a1172854f936fad88bffb,620b31d4d3ea681f35ebd74a,620b31ed854f936fad894e32
16,0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,FABRIC,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,620a10fd854f936fad88bfea,620a1172854f936fad88bffb,620b31d4d3ea681f35ebd74a,620b31ed854f936fad894e32,620c72f6854f936fad89c5b9
17,0xb9b9161c6440353d30e06f6a3f93cd43bd1e3907,USDT,Fantom,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,620e100adcf15fd1a427fdde,620e3195dcf15fd1a4280225,620ef90bdcf15fd1a4282178,620f716d9e1cf703a57a0a1e,620f71ea9e1cf703a57a0a33
18,0xb9b9161c6440353d30e06f6a3f93cd43bd1e3907,USDT,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,620e3195dcf15fd1a4280225,620ef90bdcf15fd1a4282178,620f716d9e1cf703a57a0a1e,620f71ea9e1cf703a57a0a33,620fac869e1cf703a57a1294
19,0xb88e3cad12aba4ec40ad3aebe139bf3919344099,USDT,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,620f53a011d45e0a4966e0ab,620f80a711d45e0a4966f71d,620fb4e811d45e0a49670691,620fb8fc11d45e0a4967093e,6210ed8511d45e0a49678bcd
20,0xb88e3cad12aba4ec40ad3aebe139bf3919344099,USDT,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,620f80a711d45e0a4966f71d,620fb4e811d45e0a49670691,620fb8fc11d45e0a4967093e,6210ed8511d45e0a49678bcd,62111ee611d45e0a4967994e
21,0xb88e3cad12aba4ec40ad3aebe139bf3919344099,USDT,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,620fb4e811d45e0a49670691,620fb8fc11d45e0a4967093e,6210ed8511d45e0a49678bcd,62111ee611d45e0a4967994e,62118c2611d45e0a49682513
22,0xb324a5c8e61dba2a4a03a053f8c42629a0226d56,USDC,BNB CHAIN,Fantom,Polygon,BNB CHAIN,Polygon,Fantom,620d1a8a3c8253c5fb8b90a8,620d1be33c8253c5fb8b915f,620d20b43c8253c5fb8b92aa,620d2afa3c8253c5fb8b9470,620d2cd43c8253c5fb8b94c5
23,0xeaff63f297b2947eb3a422c273b87b4f8f96bf57,MIM,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,620bdf93854f936fad898ebb,620bea85854f936fad899196,620bf14d854f936fad8992f9,620c7c50854f936fad89c7f1,620c959426b3d8ba9857cedc
